sample_id,overall_align_%,project
DRR395960,93.25,PRJDB13919
DRR395961,92.09,PRJDB13919
DRR395962,92.11,PRJDB13919
DRR395963,93.39,PRJDB13919
DRR395964,92.37,PRJDB13919
DRR395965,92.17,PRJDB13919
ERR266127,39.08,PRJEB1849
ERR266128,37.92,PRJEB1849
ERR266129,44.59,PRJEB1849
ERR266130,32.72,PRJEB1849
ERR886715,94.89,PRJEB9413
ERR886716,92.84,PRJEB9413
SRR10376271,96.57,PRJNA585370
SRR10376272,96.86,PRJNA585370
SRR10376273,96.71,PRJNA585370
SRR10376274,96.69,PRJNA585370
SRR10376275,96.69,PRJNA585370
SRR10376276,98.48,PRJNA585370
SRR10376277,96.67,PRJNA585370
SRR10376278,96.28,PRJNA585370
SRR10376279,96.45,PRJNA585370
SRR10376280,96.46,PRJNA585370
SRR10376281,95.32,PRJNA585370
SRR10376282,96.29,PRJNA585370
SRR10376283,96.43,PRJNA585370
SRR10376284,96.37,PRJNA585370
SRR10376285,96.96,PRJNA585370
SRR10376286,96.85,PRJNA585370
SRR10376287,96.83,PRJNA585370
SRR10376288,96.49,PRJNA585370
SRR10376289,95.86,PRJNA585370
SRR10376290,98.98,PRJNA585370
SRR10376291,99.01,PRJNA585370
SRR10376292,99.17,PRJNA585370
SRR10376293,96.74,PRJNA585370
SRR10376294,96.36,PRJNA585370
SRR10376295,98.90,PRJNA585370
SRR10376296,96.74,PRJNA585370
SRR10376297,96.58,PRJNA585370
SRR10376298,96.06,PRJNA585370
SRR10376299,96.57,PRJNA585370
SRR10376300,96.79,PRJNA585370
SRR10376301,98.77,PRJNA585370
SRR10376302,98.75,PRJNA585370
SRR12072405,77.50,PRJNA641225
SRR12332064,96.52,PRJNA648951
SRR12332065,97.10,PRJNA648951
SRR12332066,97.05,PRJNA648951
SRR12332067,97.50,PRJNA648951
SRR12332068,97.11,PRJNA648951
SRR12594248,4.98,PRJNA661562
SRR12594249,6.97,PRJNA661562
SRR12594332,0.00,PRJNA661564
SRR12594333,0.01,PRJNA661564
SRR12594334,0.01,PRJNA661564
SRR12594335,0.01,PRJNA661564
SRR14872391,94.22,PRJNA739713
SRR14872392,94.96,PRJNA739713
SRR14872393,95.85,PRJNA739713
SRR14872394,96.08,PRJNA739713
SRR14872395,96.05,PRJNA739713
SRR14872396,96.23,PRJNA739713
SRR14925433,96.89,PRJNA741806
SRR14925434,95.68,PRJNA741806
SRR14925435,95.82,PRJNA741806
SRR14925436,97.16,PRJNA741806
SRR14925437,96.36,PRJNA741806
SRR14925438,97.13,PRJNA741806
SRR14935703,77.32,PRJNA742236
SRR14935704,88.69,PRJNA742236
SRR14935705,91.46,PRJNA742236
SRR14935706,79.08,PRJNA742236
SRR14935707,88.40,PRJNA742236
SRR14935708,87.38,PRJNA742236
SRR14935709,89.05,PRJNA742236
SRR14935710,86.85,PRJNA742236
SRR17287604,97.24,PRJNA791237
SRR17287605,97.30,PRJNA791237
SRR17287606,97.10,PRJNA791237
SRR17287607,96.76,PRJNA791237
SRR18095197,96.48,PRJNA809121
SRR18095198,96.07,PRJNA809121
SRR18095199,95.45,PRJNA809121
SRR18095200,94.41,PRJNA809121
SRR18095201,94.26,PRJNA809121
SRR18095202,94.54,PRJNA809121
SRR18095203,94.28,PRJNA809121
SRR18095204,94.60,PRJNA809121
SRR18095205,94.24,PRJNA809121
SRR1976095,81.92,PRJNA276167
SRR1976098,82.84,PRJNA276167
SRR1976101,83.81,PRJNA276167
SRR1976105,85.26,PRJNA276167
SRR1976107,90.75,PRJNA276167
SRR1976110,85.81,PRJNA276167
SRR1976113,86.02,PRJNA276167
SRR1976116,87.56,PRJNA276167
SRR1976120,81.85,PRJNA276167
SRR1976123,80.97,PRJNA276167
SRR1976127,84.45,PRJNA276167
SRR1976132,78.67,PRJNA276167
SRR1976135,88.17,PRJNA276167
SRR1976138,88.25,PRJNA276167
SRR1976141,84.60,PRJNA276167
SRR1976144,84.67,PRJNA276167
SRR24069818,93.86,PRJNA952350
SRR24069819,98.08,PRJNA952350
SRR24069820,98.42,PRJNA952350
SRR24069835,90.80,PRJNA952350
SRR24069836,89.46,PRJNA952350
SRR24069837,91.94,PRJNA952350
SRR24069838,98.23,PRJNA952350
SRR24069839,98.22,PRJNA952350
SRR24069840,98.25,PRJNA952350
SRR24069841,94.08,PRJNA952350
SRR24069842,92.84,PRJNA952350
SRR24069874,98.40,PRJNA952350
SRR28399980,99.33,PRJNA1090110
SRR28399981,99.73,PRJNA1090110
SRR28399982,99.63,PRJNA1090110
SRR28399983,98.46,PRJNA1090110
SRR28399984,99.27,PRJNA1090110
SRR28399985,99.50,PRJNA1090110
SRR28399986,99.41,PRJNA1090110
SRR28399987,99.38,PRJNA1090110
SRR28399988,99.64,PRJNA1090110
SRR28399989,98.97,PRJNA1090110
SRR28399990,99.10,PRJNA1090110
SRR28399991,99.60,PRJNA1090110
SRR28621524,95.41,PRJNA1098791
SRR28621525,95.73,PRJNA1098791
SRR28621526,95.08,PRJNA1098791
SRR28621527,94.63,PRJNA1098791
SRR28621528,92.23,PRJNA1098791
SRR28621529,91.99,PRJNA1098791
SRR28621530,90.71,PRJNA1098791
SRR28621531,93.76,PRJNA1098791
SRR28621532,96.07,PRJNA1098791
SRR28621533,96.25,PRJNA1098791
SRR28621534,92.60,PRJNA1098791
SRR28621535,94.71,PRJNA1098791
SRR29548276,85.53,PRJNA1128172
SRR29548277,93.43,PRJNA1128172
SRR29548278,92.20,PRJNA1128172
SRR29548279,90.50,PRJNA1128172
SRR29548280,95.49,PRJNA1128172
SRR29548281,84.51,PRJNA1128172
SRR30502486,90.61,PRJNA1154941
SRR30502487,89.49,PRJNA1154941
SRR30502488,91.00,PRJNA1154941
SRR30502489,90.47,PRJNA1154941
SRR30502490,90.55,PRJNA1154941
SRR30502491,91.07,PRJNA1154941
SRR30502492,91.10,PRJNA1154941
SRR30502493,90.86,PRJNA1154941
SRR30502494,88.71,PRJNA1154941
SRR30502495,91.62,PRJNA1154941
SRR30502496,91.87,PRJNA1154941
SRR30502497,91.69,PRJNA1154941
SRR31231318,94.08,PRJNA1180449
SRR31231319,94.53,PRJNA1180449
SRR31231320,94.50,PRJNA1180449
SRR31231321,94.49,PRJNA1180449
SRR31231322,94.38,PRJNA1180449
SRR31231323,95.00,PRJNA1180449
SRR31231324,92.97,PRJNA1180449
SRR31231325,94.87,PRJNA1180449
SRR31231326,93.95,PRJNA1180449
SRR31231327,93.72,PRJNA1180449
SRR31231328,94.39,PRJNA1180449
SRR31231329,94.23,PRJNA1180449
SRR3452717,94.23,PRJNA319738
SRR3452718,93.57,PRJNA319738
SRR3452719,93.28,PRJNA319738
SRR3452720,93.28,PRJNA319738
SRR3452721,93.14,PRJNA319738
SRR3452722,93.65,PRJNA319738
SRR3452723,93.98,PRJNA319738
SRR3452724,94.01,PRJNA319738
SRR3452725,94.08,PRJNA319738
SRR3452726,94.71,PRJNA319738
SRR3452727,94.80,PRJNA319738
SRR3452728,93.46,PRJNA319738
SRR358900,0.04,PRJNA149413
SRR8612691,90.25,PRJNA523862
SRR8612692,90.42,PRJNA523862
SRR8612693,85.47,PRJNA523862
SRR8612699,92.51,PRJNA523862
SRR8612706,94.20,PRJNA523862
SRR8612709,91.90,PRJNA523862
SRR8742861,97.41,PRJNA527782
SRR8742862,96.12,PRJNA527782
SRR8742863,96.37,PRJNA527782
SRR8742864,97.58,PRJNA527782
SRR8742865,97.05,PRJNA527782
SRR8742866,95.48,PRJNA527782
SRR8742867,97.10,PRJNA527782
SRR8742868,96.27,PRJNA527782
SRR8742869,97.05,PRJNA527782
SRR8742870,96.29,PRJNA527782
SRR8742871,97.19,PRJNA527782
SRR8742872,95.73,PRJNA527782
SRR8742873,97.28,PRJNA527782
SRR8742874,96.11,PRJNA527782
SRR8742875,96.44,PRJNA527782
SRR8742876,95.57,PRJNA527782
SRR8742877,97.46,PRJNA527782
SRR8742878,94.76,PRJNA527782
SRR8742879,96.27,PRJNA527782
SRR8742880,95.72,PRJNA527782
SRR8742881,93.61,PRJNA527782
SRR8742882,97.09,PRJNA527782
SRR8742883,93.60,PRJNA527782
SRR8742884,97.08,PRJNA527782
SRR8742885,92.07,PRJNA527782
SRR8742886,96.65,PRJNA527782
SRR8742887,93.77,PRJNA527782
SRR8742888,92.54,PRJNA527782
SRR8742889,92.83,PRJNA527782
SRR8742890,95.28,PRJNA527782
SRR8742891,95.13,PRJNA527782
SRR8742892,92.83,PRJNA527782
SRR8742893,77.70,PRJNA527782
SRR8742894,87.48,PRJNA527782
SRR8742895,92.22,PRJNA527782
SRR8742896,88.03,PRJNA527782
SRR8742897,92.08,PRJNA527782
SRR8742898,92.76,PRJNA527782
SRR8742899,95.26,PRJNA527782
SRR8742900,96.83,PRJNA527782
SRR8742901,94.68,PRJNA527782
SRR8742902,96.45,PRJNA527782
SRR8742903,95.58,PRJNA527782
SRR8742904,92.37,PRJNA527782
SRR8742905,93.45,PRJNA527782
SRR8742906,91.90,PRJNA527782
SRR8742907,79.09,PRJNA527782
SRR8742908,87.06,PRJNA527782
SRR8742909,84.18,PRJNA527782
SRR8742910,86.02,PRJNA527782
SRR8742911,74.42,PRJNA527782
SRR8742912,77.19,PRJNA527782
SRR8742913,82.84,PRJNA527782
SRR8742914,82.59,PRJNA527782
SRR8742915,81.57,PRJNA527782
SRR8742916,78.17,PRJNA527782
SRR8742958,97.22,PRJNA527782
SRR8742959,96.16,PRJNA527782
SRR8742960,96.20,PRJNA527782
SRR8742961,96.30,PRJNA527782
SRR8742962,97.18,PRJNA527782
SRR8742963,95.12,PRJNA527782
SRR8742964,97.15,PRJNA527782
SRR8742965,95.37,PRJNA527782
SRR8742966,97.37,PRJNA527782
SRR8742967,96.42,PRJNA527782
SRR8742968,96.12,PRJNA527782
SRR8742969,96.17,PRJNA527782
SRR8742970,97.22,PRJNA527782
SRR8742971,97.15,PRJNA527782
SRR8742972,96.04,PRJNA527782
SRR8742973,96.14,PRJNA527782
SRR8742974,96.35,PRJNA527782
SRR8742975,97.27,PRJNA527782
SRR8742976,94.11,PRJNA527782
SRR8742977,96.56,PRJNA527782
SRR8742978,95.52,PRJNA527782
SRR8742979,96.94,PRJNA527782
SRR8742980,97.13,PRJNA527782
SRR8742981,92.83,PRJNA527782
SRR8742982,96.06,PRJNA527782
SRR8742983,94.94,PRJNA527782
SRR8742984,96.83,PRJNA527782
SRR8742985,93.99,PRJNA527782
SRR8742986,93.04,PRJNA527782
SRR8742987,94.25,PRJNA527782
SRR8742988,95.50,PRJNA527782
SRR8742989,95.52,PRJNA527782
SRR8742990,82.37,PRJNA527782
SRR8742991,92.64,PRJNA527782
SRR8742992,93.33,PRJNA527782
SRR8742993,93.33,PRJNA527782
SRR8742994,92.92,PRJNA527782
SRR8742995,89.05,PRJNA527782
SRR8742996,90.84,PRJNA527782
SRR8742997,93.25,PRJNA527782
SRR8742998,96.14,PRJNA527782
SRR8742999,96.63,PRJNA527782
SRR8743000,96.20,PRJNA527782
SRR8743001,94.63,PRJNA527782
SRR8743002,96.58,PRJNA527782
SRR8743003,95.75,PRJNA527782
SRR8743004,94.50,PRJNA527782
SRR8743005,93.52,PRJNA527782
SRR8743006,94.30,PRJNA527782
SRR8743007,93.49,PRJNA527782
SRR8743008,90.98,PRJNA527782
SRR8743009,90.73,PRJNA527782
SRR8743010,92.12,PRJNA527782
SRR8743011,91.33,PRJNA527782
SRR8743012,84.03,PRJNA527782
SRR8743013,88.76,PRJNA527782
SRR8743014,87.64,PRJNA527782
SRR8743015,86.17,PRJNA527782
SRR8743016,71.72,PRJNA527782
SRR8743017,89.71,PRJNA527782
SRR8743058,95.31,PRJNA527782
SRR8743059,96.43,PRJNA527782
SRR8743060,95.68,PRJNA527782
SRR8743061,96.20,PRJNA527782
SRR8743062,95.90,PRJNA527782
SRR8743063,96.64,PRJNA527782
SRR8743064,96.60,PRJNA527782
SRR8743065,96.12,PRJNA527782
SRR8743066,96.60,PRJNA527782
SRR8743067,96.75,PRJNA527782
SRR8743068,95.64,PRJNA527782
SRR8743069,95.27,PRJNA527782
SRR8743070,96.55,PRJNA527782
SRR8743071,95.82,PRJNA527782
SRR8743072,96.61,PRJNA527782
SRR8743073,94.71,PRJNA527782
SRR8743074,93.46,PRJNA527782
SRR8743075,95.78,PRJNA527782
SRR8743076,95.63,PRJNA527782
SRR8743077,95.42,PRJNA527782
SRR8743078,95.12,PRJNA527782
SRR8743079,94.04,PRJNA527782
SRR8743080,92.28,PRJNA527782
SRR8743081,91.86,PRJNA527782
SRR8743082,87.21,PRJNA527782
SRR8743083,91.10,PRJNA527782
SRR8743084,89.13,PRJNA527782
SRR8743085,90.66,PRJNA527782
SRR8743086,93.66,PRJNA527782
SRR8743087,93.14,PRJNA527782
SRR8743088,93.23,PRJNA527782
SRR8743089,92.98,PRJNA527782
SRR8743090,90.48,PRJNA527782
SRR8743091,55.41,PRJNA527782
SRR8743092,85.16,PRJNA527782
SRR8743093,90.65,PRJNA527782
SRR8743094,92.11,PRJNA527782
SRR8743095,91.15,PRJNA527782
SRR8743096,85.08,PRJNA527782
SRR8743097,92.59,PRJNA527782
SRR8743098,91.49,PRJNA527782
SRR8743099,93.68,PRJNA527782
SRR8743100,92.14,PRJNA527782
SRR8743101,93.11,PRJNA527782
SRR8743102,92.61,PRJNA527782
SRR8743103,88.50,PRJNA527782
SRR8743104,89.86,PRJNA527782
SRR8743105,86.49,PRJNA527782
SRR8743106,89.11,PRJNA527782
SRR8743107,63.64,PRJNA527782
SRR8743108,74.95,PRJNA527782
SRR8743109,80.31,PRJNA527782
SRR8743110,74.10,PRJNA527782
SRR8743111,46.71,PRJNA527782
SRR8743112,60.19,PRJNA527782
SRR8743113,81.17,PRJNA527782
SRR8743114,81.58,PRJNA527782
SRR8743115,90.89,PRJNA527782
SRR8743116,89.36,PRJNA527782
SRR8743158,95.91,PRJNA527782
SRR8743159,97.37,PRJNA527782
SRR8743160,96.16,PRJNA527782
SRR8743161,96.81,PRJNA527782
SRR8743162,96.35,PRJNA527782
SRR8743163,97.00,PRJNA527782
SRR8743164,96.21,PRJNA527782
SRR8743165,96.92,PRJNA527782
SRR8743166,97.12,PRJNA527782
SRR8743167,96.45,PRJNA527782
SRR8743168,97.26,PRJNA527782
SRR8743169,95.68,PRJNA527782
SRR8743170,95.96,PRJNA527782
SRR8743171,97.01,PRJNA527782
SRR8743172,94.96,PRJNA527782
SRR8743173,95.02,PRJNA527782
SRR8743174,95.38,PRJNA527782
SRR8743175,96.08,PRJNA527782
SRR8743176,93.85,PRJNA527782
SRR8743177,93.13,PRJNA527782
SRR8743178,91.58,PRJNA527782
SRR8743179,90.71,PRJNA527782
SRR8743180,91.56,PRJNA527782
SRR8743181,87.25,PRJNA527782
SRR8743182,90.95,PRJNA527782
SRR8743183,89.06,PRJNA527782
SRR8743184,89.77,PRJNA527782
SRR8743185,90.20,PRJNA527782
SRR8743186,89.58,PRJNA527782
SRR8743187,92.91,PRJNA527782
SRR8743188,91.80,PRJNA527782
SRR8743189,87.46,PRJNA527782
SRR8743190,90.97,PRJNA527782
SRR8743191,85.97,PRJNA527782
SRR8743192,92.28,PRJNA527782
SRR8743193,90.55,PRJNA527782
SRR8743194,91.85,PRJNA527782
SRR8743195,93.19,PRJNA527782
SRR8743196,95.03,PRJNA527782
SRR8743197,91.54,PRJNA527782
SRR8743198,94.04,PRJNA527782
SRR8743199,94.18,PRJNA527782
SRR8743200,91.80,PRJNA527782
SRR8743201,91.07,PRJNA527782
SRR8743202,94.43,PRJNA527782
SRR8743203,92.52,PRJNA527782
SRR8743204,92.83,PRJNA527782
SRR8743205,90.16,PRJNA527782
SRR8743206,77.72,PRJNA527782
SRR8743207,89.64,PRJNA527782
SRR8743208,93.30,PRJNA527782
SRR8743209,55.33,PRJNA527782
SRR8743210,95.03,PRJNA527782
SRR8743211,90.81,PRJNA527782
SRR8743212,93.51,PRJNA527782
SRR8743213,93.20,PRJNA527782
SRR8743214,87.98,PRJNA527782
SRR8743215,90.86,PRJNA527782
SRR9735386,49.53,PRJNA556240
SRR9735387,21.56,PRJNA556240
SRR9735388,80.89,PRJNA556240
SRR9735389,73.22,PRJNA556240
SRR9735390,73.57,PRJNA556240
SRR9735391,85.23,PRJNA556240
SRR9735392,77.45,PRJNA556240
SRR9735393,74.15,PRJNA556240
SRR9735394,43.67,PRJNA556240
SRR9735395,90.60,PRJNA556240
SRR9735396,68.14,PRJNA556240
