run_accession,Bioproject,type,Library Layout
SRR31231318,PRJNA1180449,RNA-Seq,PAIRED
SRR31231319,PRJNA1180449,RNA-Seq,PAIRED
SRR31231320,PRJNA1180449,RNA-Seq,PAIRED
SRR31231321,PRJNA1180449,RNA-Seq,PAIRED
SRR31231322,PRJNA1180449,RNA-Seq,PAIRED
SRR31231323,PRJNA1180449,RNA-Seq,PAIRED
SRR31231324,PRJNA1180449,RNA-Seq,PAIRED
SRR31231325,PRJNA1180449,RNA-Seq,PAIRED
SRR31231326,PRJNA1180449,RNA-Seq,PAIRED
SRR31231327,PRJNA1180449,RNA-Seq,PAIRED
SRR31231328,PRJNA1180449,RNA-Seq,PAIRED
SRR31231329,PRJNA1180449,RNA-Seq,PAIRED
SRR30502486,PRJNA1154941,RNA-Seq,PAIRED
SRR30502487,PRJNA1154941,RNA-Seq,PAIRED
SRR30502488,PRJNA1154941,RNA-Seq,PAIRED
SRR30502489,PRJNA1154941,RNA-Seq,PAIRED
SRR30502493,PRJNA1154941,RNA-Seq,PAIRED
SRR30502490,PRJNA1154941,RNA-Seq,PAIRED
SRR30502491,PRJNA1154941,RNA-Seq,PAIRED
SRR30502492,PRJNA1154941,RNA-Seq,PAIRED
SRR30502494,PRJNA1154941,RNA-Seq,PAIRED
SRR30502495,PRJNA1154941,RNA-Seq,PAIRED
SRR30502496,PRJNA1154941,RNA-Seq,PAIRED
SRR30502497,PRJNA1154941,RNA-Seq,PAIRED
DRR395965,PRJDB13919,RNA-Seq,PAIRED
SRR29548276,PRJNA1128172,RNA-Seq,SINGLE
SRR29548277,PRJNA1128172,RNA-Seq,SINGLE
SRR29548278,PRJNA1128172,RNA-Seq,SINGLE
SRR29548279,PRJNA1128172,RNA-Seq,SINGLE
SRR29548280,PRJNA1128172,RNA-Seq,SINGLE
SRR29548281,PRJNA1128172,RNA-Seq,SINGLE
SRR28621524,PRJNA1098791,RNA-Seq,PAIRED
SRR28621525,PRJNA1098791,RNA-Seq,PAIRED
SRR28621526,PRJNA1098791,RNA-Seq,PAIRED
SRR28621527,PRJNA1098791,RNA-Seq,PAIRED
SRR28621528,PRJNA1098791,RNA-Seq,PAIRED
SRR28621529,PRJNA1098791,RNA-Seq,PAIRED
SRR28621530,PRJNA1098791,RNA-Seq,PAIRED
SRR28621531,PRJNA1098791,RNA-Seq,PAIRED
SRR28621532,PRJNA1098791,RNA-Seq,PAIRED
SRR28621533,PRJNA1098791,RNA-Seq,PAIRED
SRR28621534,PRJNA1098791,RNA-Seq,PAIRED
SRR28621535,PRJNA1098791,RNA-Seq,PAIRED
SRR28399980,PRJNA1090110,RNA-Seq,PAIRED
SRR28399981,PRJNA1090110,RNA-Seq,PAIRED
SRR28399982,PRJNA1090110,RNA-Seq,PAIRED
SRR28399983,PRJNA1090110,RNA-Seq,PAIRED
SRR28399987,PRJNA1090110,RNA-Seq,PAIRED
SRR28399984,PRJNA1090110,RNA-Seq,PAIRED
SRR28399985,PRJNA1090110,RNA-Seq,PAIRED
SRR28399986,PRJNA1090110,RNA-Seq,PAIRED
SRR28399988,PRJNA1090110,RNA-Seq,PAIRED
SRR28399989,PRJNA1090110,RNA-Seq,PAIRED
SRR28399990,PRJNA1090110,RNA-Seq,PAIRED
SRR28399991,PRJNA1090110,RNA-Seq,PAIRED
SRR24069818,PRJNA952350,RNA-Seq,PAIRED
SRR24069819,PRJNA952350,RNA-Seq,PAIRED
SRR24069874,PRJNA952350,RNA-Seq,PAIRED
