experiment_accession,experiment_alias,title,study_accession,design_description,sample_accession,library_strategy,library_layout,instrument_model,run_accession,total_spots,total_bases
SRX26611583,GL98D1,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,SRP543294,treated seeds,SRS23110265,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR31231318,20441684,6119255806
SRX26611582,GL98C3,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,SRP543294,treated seeds,SRS23110264,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR31231319,20358514,6095948666
SRX26611581,GL98C2,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,SRP543294,treated seeds,SRS23110263,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR31231320,20745508,6210300618
SRX26611580,GL98C1,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,SRP543294,treated seeds,SRS23110262,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR31231321,19444175,5820262192
SRX26611579,GL220B3,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,SRP543294,treated seeds,SRS23110261,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR31231322,21674601,6488969244
SRX26611578,GL220B2,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,SRP543294,treated seeds,SRS23110260,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR31231323,23861556,7141186546
SRX26611577,GL220B1,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,SRP543294,treated seeds,SRS23110259,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR31231324,20892398,6252645764
SRX26611576,GL220A3,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,SRP543294,treated seeds,SRS23110258,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR31231325,20552706,6152753952
SRX26611575,GL98D3,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,SRP543294,treated seeds,SRS23110257,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR31231326,20902591,6258902552
SRX26611574,GL98D2,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,SRP543294,treated seeds,SRS23110256,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR31231327,20194751,6045904146
SRX26611573,GL220A2,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,SRP543294,treated seeds,SRS23110255,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR31231328,20885803,6251168276
SRX26611572,GL220A1,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,SRP543294,treated seeds,SRS23110254,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR31231329,20738414,6208267214
SRX25926325,GSM8491579_r1,GSM8491579: JL with drought treatment (3); Sorghum bicolor; RNA-Seq,SRP529828,,SRS22513781,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR30502486,21430081,6429024300
SRX25926324,GSM8491578_r1,GSM8491578: JL with drought treatment (2); Sorghum bicolor; RNA-Seq,SRP529828,,SRS22513780,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR30502487,21256775,6377032500
SRX25926323,GSM8491577_r1,GSM8491577: JL with drought treatment (1); Sorghum bicolor; RNA-Seq,SRP529828,,SRS22513779,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR30502488,19970136,5991040800
SRX25926322,GSM8491576_r1,GSM8491576: JL with normal water supply (3); Sorghum bicolor; RNA-Seq,SRP529828,,SRS22513778,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR30502489,21049448,6314834400
SRX25926321,GSM8491575_r1,GSM8491575: JL with normal water supply (2); Sorghum bicolor; RNA-Seq,SRP529828,,SRS22513777,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR30502493,20903494,6271048200
SRX25926320,GSM8491574_r1,GSM8491574: JL with normal water supply (1); Sorghum bicolor; RNA-Seq,SRP529828,,SRS22513775,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR30502490,21013934,6304180200
SRX25926319,GSM8491573_r1,GSM8491573: SCS with drought treatment (3); Sorghum bicolor; RNA-Seq,SRP529828,,SRS22513776,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR30502491,21166621,6349986300
SRX25926318,GSM8491572_r1,GSM8491572: SCS with drought treatment (2); Sorghum bicolor; RNA-Seq,SRP529828,,SRS22513774,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR30502492,20909497,6272849100
SRX25926317,GSM8491571_r1,GSM8491571: SCS with drought treatment (1); Sorghum bicolor; RNA-Seq,SRP529828,,SRS22513773,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR30502494,21460987,6438296100
SRX25926316,GSM8491570_r1,GSM8491570: SCS with normal water supply (3); Sorghum bicolor; RNA-Seq,SRP529828,,SRS22513772,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR30502495,23245262,6973578600
SRX25926315,GSM8491569_r1,GSM8491569: SCS with normal water supply (2); Sorghum bicolor; RNA-Seq,SRP529828,,SRS22513771,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR30502496,24526377,7357913100
SRX25926314,GSM8491568_r1,GSM8491568: SCS with normal water supply (1); Sorghum bicolor; RNA-Seq,SRP529828,,SRS22513770,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR30502497,24076215,7222864500
DRX381744,DRX381744,DNBSEQ-G400 paired end sequencing of SAMD00516992,DRP011818,,DRS397501,RNA-Seq,PAIRED,,DRR395965,19491652,3898330400
DRX381743,DRX381743,DNBSEQ-G400 paired end sequencing of SAMD00516991,DRP011818,,DRS397500,RNA-Seq,PAIRED,,DRR395964,21663244,4332648800
DRX381742,DRX381742,DNBSEQ-G400 paired end sequencing of SAMD00516990,DRP011818,,DRS397499,RNA-Seq,PAIRED,,DRR395963,12745981,2549196200
DRX381741,DRX381741,DNBSEQ-G400 paired end sequencing of SAMD00516989,DRP011818,,DRS397498,RNA-Seq,PAIRED,,DRR395962,20921257,4184251400
DRX381740,DRX381740,DNBSEQ-G400 paired end sequencing of SAMD00516988,DRP011818,,DRS397497,RNA-Seq,PAIRED,,DRR395961,21413561,4282712200
DRX381739,DRX381739,DNBSEQ-G400 paired end sequencing of SAMD00516987,DRP011818,,DRS397496,RNA-Seq,PAIRED,,DRR395960,14335494,2867098800
SRX25055511,B9_L001_R1_001.fastq,Drought Fe,SRP516063,Root transcriptome,SRS21752562,RNA-Seq,SINGLE,NextSeq 2000,SRR29548276,22590427,2281633127
SRX25055510,B8_L001_R1_001.fastq,Drought Fe,SRP516063,Root transcriptome,SRS21752561,RNA-Seq,SINGLE,NextSeq 2000,SRR29548277,26602586,2686861186
SRX25055509,B7_L001_R1_001.fastq,Drought Fe,SRP516063,Root transcriptome,SRS21752560,RNA-Seq,SINGLE,NextSeq 2000,SRR29548278,18094859,1827580759
SRX25055508,B6_L001_R1_001.fastq,Drought,SRP516063,Root transcriptome,SRS21752559,RNA-Seq,SINGLE,NextSeq 2000,SRR29548279,18388709,1857259609
SRX25055507,B5_L001_R1_001.fastq,Drought,SRP516063,Root transcriptome,SRS21752558,RNA-Seq,SINGLE,NextSeq 2000,SRR29548280,16337188,1650055988
SRX25055506,B4_L001_R1_001.fastq,Drought,SRP516063,Root transcriptome,SRS21752557,RNA-Seq,SINGLE,NextSeq 2000,SRR29548281,2628588,265487388
SRX24219589,A23165794aR1A,RNA-Seq of Sorghum bicolor,SRP500850,24Hours seed,SRS20989445,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR28621524,25204533,7561359900
SRX24219588,A23165790aR1A,RNA-Seq of Sorghum bicolor,SRP500850,24Hours seed,SRS20989439,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR28621525,23871643,7161492900
SRX24219587,A23165789aR1A,RNA-Seq of Sorghum bicolor,SRP500850,24Hours seed,SRS20989438,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR28621526,25267695,7580308500
SRX24219586,A23165788aR1A,RNA-Seq of Sorghum bicolor,SRP500850,24Hours seed,SRS20989441,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR28621527,25291893,7587567900
SRX24219585,A23165811aR1A,RNA-Seq of Sorghum bicolor,SRP500850,24Hours seed,SRS20989443,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR28621528,21794667,6538400100
SRX24219584,A23165810aR1A,RNA-Seq of Sorghum bicolor,SRP500850,24Hours seed,SRS20989437,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR28621529,25566818,7670045400
