design_description,sample_accession,run_accession,Total Size,Submitter,Center,Contact,Experiment,Study,Organism,Sample,Library Strategy,Library Source,Library Selection,Library Layout,Bioproject,Biosample,Run Accession,Run Spots,Run Bases,Create Date,Update Date
treated seeds,SRS23110265,SRR31231318,1882919550,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611583,SRP543294,Sorghum bicolor,SRS23110265,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415016,,,,2024/11/05,2024/11/05
treated seeds,SRS23110264,SRR31231319,1851542395,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611582,SRP543294,Sorghum bicolor,SRS23110264,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415015,,,,2024/11/05,2024/11/05
treated seeds,SRS23110263,SRR31231320,1893113189,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611581,SRP543294,Sorghum bicolor,SRS23110263,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415014,,,,2024/11/05,2024/11/05
treated seeds,SRS23110262,SRR31231321,1787584416,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611580,SRP543294,Sorghum bicolor,SRS23110262,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415013,,,,2024/11/05,2024/11/05
treated seeds,SRS23110261,SRR31231322,1982273902,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611579,SRP543294,Sorghum bicolor,SRS23110261,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415012,,,,2024/11/05,2024/11/05
treated seeds,SRS23110260,SRR31231323,2170287781,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611578,SRP543294,Sorghum bicolor,SRS23110260,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415011,,,,2024/11/05,2024/11/05
treated seeds,SRS23110259,SRR31231324,1923832683,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611577,SRP543294,Sorghum bicolor,SRS23110259,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415010,,,,2024/11/05,2024/11/05
treated seeds,SRS23110258,SRR31231325,1874967719,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611576,SRP543294,Sorghum bicolor,SRS23110258,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415009,,,,2024/11/05,2024/11/05
treated seeds,SRS23110257,SRR31231326,1933789734,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611575,SRP543294,Sorghum bicolor,SRS23110257,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415018,,,,2024/11/05,2024/11/05
treated seeds,SRS23110256,SRR31231327,1835618638,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611574,SRP543294,Sorghum bicolor,SRS23110256,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415017,,,,2024/11/05,2024/11/05
