Id,Title,Instrument,Total Runs,Total Spots,Total Bases,Total Size,Submitter,Center,Contact,Experiment,Study,Organism,Sample,Library Strategy,Library Source,Library Selection,Library Layout,Bioproject,Biosample,Run Accession,Run Spots,Run Bases,Create Date,Update Date
35954038,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,Illumina NovaSeq 6000,1,20441684,6119255806,1882919550,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611583,SRP543294,Sorghum bicolor,SRS23110265,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415016,,,,2024/11/05,2024/11/05
35954037,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,Illumina NovaSeq 6000,1,20358514,6095948666,1851542395,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611582,SRP543294,Sorghum bicolor,SRS23110264,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415015,,,,2024/11/05,2024/11/05
35954036,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,Illumina NovaSeq 6000,1,20745508,6210300618,1893113189,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611581,SRP543294,Sorghum bicolor,SRS23110263,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415014,,,,2024/11/05,2024/11/05
35954035,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,Illumina NovaSeq 6000,1,19444175,5820262192,1787584416,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611580,SRP543294,Sorghum bicolor,SRS23110262,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415013,,,,2024/11/05,2024/11/05
35954034,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,Illumina NovaSeq 6000,1,21674601,6488969244,1982273902,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611579,SRP543294,Sorghum bicolor,SRS23110261,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415012,,,,2024/11/05,2024/11/05
35954033,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,Illumina NovaSeq 6000,1,23861556,7141186546,2170287781,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611578,SRP543294,Sorghum bicolor,SRS23110260,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415011,,,,2024/11/05,2024/11/05
35954032,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,Illumina NovaSeq 6000,1,20892398,6252645764,1923832683,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611577,SRP543294,Sorghum bicolor,SRS23110259,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415010,,,,2024/11/05,2024/11/05
35954031,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,Illumina NovaSeq 6000,1,20552706,6152753952,1874967719,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611576,SRP543294,Sorghum bicolor,SRS23110258,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415009,,,,2024/11/05,2024/11/05
35954030,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,Illumina NovaSeq 6000,1,20902591,6258902552,1933789734,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611575,SRP543294,Sorghum bicolor,SRS23110257,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415018,,,,2024/11/05,2024/11/05
35954029,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,Illumina NovaSeq 6000,1,20194751,6045904146,1835618638,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611574,SRP543294,Sorghum bicolor,SRS23110256,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415017,,,,2024/11/05,2024/11/05
